,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
0,02/07/2020,2,7,2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia
1,01/07/2020,1,7,2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia
2,30/06/2020,30,6,2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia
3,29/06/2020,29,6,2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia
4,28/06/2020,28,6,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia
5,27/06/2020,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia
6,26/06/2020,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia
7,25/06/2020,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia
8,24/06/2020,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia
9,23/06/2020,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia
10,22/06/2020,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia
11,21/06/2020,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia
12,20/06/2020,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia
13,19/06/2020,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia
14,18/06/2020,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia
15,17/06/2020,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia
16,16/06/2020,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia
17,15/06/2020,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia
18,14/06/2020,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia
19,13/06/2020,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia
20,12/06/2020,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia
21,11/06/2020,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia
22,10/06/2020,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia
23,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia
24,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia
25,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia
26,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia
27,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia
28,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia
29,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia
30,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia
31,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia
32,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia
33,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia
34,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia
35,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia
36,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia
37,26/05/2020,26,5,2020,591,1,Afghanistan,AF,AFG,38041757.0,Asia
38,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia
39,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia
40,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia
41,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia
42,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia
