,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
0,10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,37172386.0,Asia
1,09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,37172386.0,Asia
2,08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,37172386.0,Asia
3,07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,37172386.0,Asia
4,06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,37172386.0,Asia
5,05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,37172386.0,Asia
6,04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,37172386.0,Asia
7,03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,37172386.0,Asia
8,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,37172386.0,Asia
9,01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,37172386.0,Asia
10,30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,37172386.0,Asia
11,29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,37172386.0,Asia
12,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,37172386.0,Asia
13,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,37172386.0,Asia
14,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,37172386.0,Asia
15,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,37172386.0,Asia
16,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,37172386.0,Asia
17,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,37172386.0,Asia
18,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,37172386.0,Asia
19,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,37172386.0,Asia
20,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,37172386.0,Asia
21,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,37172386.0,Asia
22,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,37172386.0,Asia
23,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,37172386.0,Asia
24,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,37172386.0,Asia
25,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386.0,Asia
26,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386.0,Asia
27,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386.0,Asia
28,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386.0,Asia
29,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386.0,Asia
30,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386.0,Asia
31,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386.0,Asia
32,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386.0,Asia
33,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386.0,Asia
34,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386.0,Asia
35,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386.0,Asia
36,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
37,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386.0,Asia
38,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386.0,Asia
39,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386.0,Asia
40,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386.0,Asia
41,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386.0,Asia
42,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386.0,Asia
43,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386.0,Asia
44,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
45,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386.0,Asia
46,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386.0,Asia
47,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386.0,Asia
