,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
0,17/06/2020,17,6,2020,783,13,Afghanistan,AF,AFG,37172386.0,Asia
1,16/06/2020,16,6,2020,761,7,Afghanistan,AF,AFG,37172386.0,Asia
2,15/06/2020,15,6,2020,664,20,Afghanistan,AF,AFG,37172386.0,Asia
3,14/06/2020,14,6,2020,556,5,Afghanistan,AF,AFG,37172386.0,Asia
4,13/06/2020,13,6,2020,656,20,Afghanistan,AF,AFG,37172386.0,Asia
5,12/06/2020,12,6,2020,747,21,Afghanistan,AF,AFG,37172386.0,Asia
6,11/06/2020,11,6,2020,684,21,Afghanistan,AF,AFG,37172386.0,Asia
7,10/06/2020,10,6,2020,542,15,Afghanistan,AF,AFG,37172386.0,Asia
8,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,37172386.0,Asia
9,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,37172386.0,Asia
10,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,37172386.0,Asia
11,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,37172386.0,Asia
12,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,37172386.0,Asia
13,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,37172386.0,Asia
14,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,37172386.0,Asia
15,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,37172386.0,Asia
16,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,37172386.0,Asia
17,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,37172386.0,Asia
18,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,37172386.0,Asia
19,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,37172386.0,Asia
20,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,37172386.0,Asia
21,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,37172386.0,Asia
22,26/05/2020,26,5,2020,591,1,Afghanistan,AF,AFG,37172386.0,Asia
23,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,37172386.0,Asia
24,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,37172386.0,Asia
25,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,37172386.0,Asia
26,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,37172386.0,Asia
27,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,37172386.0,Asia
28,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,37172386.0,Asia
29,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,37172386.0,Asia
30,18/05/2020,18,5,2020,262,1,Afghanistan,AF,AFG,37172386.0,Asia
31,17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
32,16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,37172386.0,Asia
33,15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,37172386.0,Asia
34,14/05/2020,14,5,2020,259,3,Afghanistan,AF,AFG,37172386.0,Asia
35,13/05/2020,13,5,2020,280,5,Afghanistan,AF,AFG,37172386.0,Asia
36,12/05/2020,12,5,2020,285,2,Afghanistan,AF,AFG,37172386.0,Asia
37,11/05/2020,11,5,2020,369,5,Afghanistan,AF,AFG,37172386.0,Asia
38,10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,37172386.0,Asia
39,09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,37172386.0,Asia
40,08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,37172386.0,Asia
41,07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,37172386.0,Asia
42,06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,37172386.0,Asia
43,05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,37172386.0,Asia
44,04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,37172386.0,Asia
45,03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,37172386.0,Asia
46,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,37172386.0,Asia
